wordpress_version;wordpress_version_major;wordpress_version_minor;wordpress_date;wordpress_changelog
0.70;0.70;0;27/05/2003;https://wordpress.org/support/wordpress-version/version-0-70/#changelog
0.71;0.71;0;09/06/2003;https://wordpress.org/support/wordpress-version/version-0-71/#changelog
0.711;0.71;1;25/06/2003;https://wordpress.org/support/wordpress-version/version-0-711/
0.72;0.72;0;11/10/2003;https://wordpress.org/support/wordpress-version/version-0-72/#changelog
1.0.2;1.0;2;11/03/2004;https://codex.wordpress.org/Changelog/1.0.2
1.2.1;1.2;1;06/10/2004;https://codex.wordpress.org/Changelog/1.2.1
1.2.2;1.2;2;15/12/2004;https://codex.wordpress.org/Changelog/1.2.2
1.5.1;1.5;1;09/05/2005;https://codex.wordpress.org/Changelog/1.5.1
1.5.2;1.5;2;14/08/2005;https://codex.wordpress.org/Changelog/1.5.2
2.0;2.0;0;26/12/2005;https://codex.wordpress.org/Changelog/2.0
2.0.1;2.0;1;31/01/2006;https://codex.wordpress.org/Changelog/2.0.1
2.0.4;2.0;4;29/07/2006;https://codex.wordpress.org/Changelog/2.0.4
2.0.5;2.0;5;27/10/2006;https://codex.wordpress.org/Changelog/2.0.5
2.0.6;2.0;6;05/01/2007;https://codex.wordpress.org/Changelog/2.0.6
2.0.7;2.0;7;15/01/2007;https://codex.wordpress.org/Changelog/2.0.7
2.0.8;2.0;8;08/02/2007;https://codex.wordpress.org/Changelog/2.0.8
2.0.9;2.0;9;21/02/2007;https://codex.wordpress.org/Changelog/2.0.9
2.0.10;2.0;10;03/04/2007;https://codex.wordpress.org/Changelog/2.0.10
2.0.11;2.0;11;05/08/2007;https://codex.wordpress.org/Changelog/2.0.11
2.1;2.1;0;22/01/2007;https://codex.wordpress.org/Changelog/2.1
2.1.1;2.1;1;21/02/2007;https://codex.wordpress.org/Changelog/2.1.1
2.1.2;2.1;2;02/03/2007;https://codex.wordpress.org/Changelog/2.1.2
2.1.3;2.1;3;03/04/2007;https://codex.wordpress.org/Changelog/2.1.3
2.2;2.2;0;16/05/2007;https://codex.wordpress.org/Changelog/2.2
2.2.1;2.2;1;21/06/2007;https://codex.wordpress.org/Changelog/2.2.1
2.2.2;2.2;2;05/08/2007;https://codex.wordpress.org/Changelog/2.2.2
2.2.3;2.2;3;08/09/2007;https://codex.wordpress.org/Changelog/2.2.3
2.3;2.3;0;24/09/2007;https://codex.wordpress.org/Changelog/2.3
2.3.1;2.3;1;26/10/2007;https://codex.wordpress.org/Changelog/2.3.1
2.3.2;2.3;2;29/12/2007;https://codex.wordpress.org/Changelog/2.3.2
2.3.3;2.3;3;05/02/2008;https://codex.wordpress.org/Changelog/2.3.3
2.5;2.5;0;29/03/2008;https://codex.wordpress.org/Changelog/2.5
2.5.1;2.5;1;25/04/2008;https://codex.wordpress.org/Changelog/2.5.1
2.6;2.6;0;15/07/2008;https://codex.wordpress.org/Changelog/2.6
2.6.1;2.6;1;15/08/2008;https://codex.wordpress.org/Changelog/2.6.1
2.6.2;2.6;2;08/09/2008;https://codex.wordpress.org/Changelog/2.6.2
2.6.3;2.6;3;23/10/2008;https://codex.wordpress.org/Changelog/2.6.3
2.6.5;2.6;5;25/11/2008;https://codex.wordpress.org/Changelog/2.6.5
2.7;2.7;0;10/12/2008;https://codex.wordpress.org/Changelog/2.7
2.7.1;2.7;1;10/02/2009;https://codex.wordpress.org/Changelog/2.7.1
2.8;2.8;0;10/06/2009;https://codex.wordpress.org/Changelog/2.8
2.8.1;2.8;1;09/07/2009;https://codex.wordpress.org/Changelog/2.8.1
2.8.2;2.8;2;20/07/2009;https://codex.wordpress.org/Changelog/2.8.2
2.8.3;2.8;3;03/08/2009;https://codex.wordpress.org/Changelog/2.8.3
2.8.4;2.8;4;12/08/2009;https://codex.wordpress.org/Changelog/2.8.4
