wordpress_version_major;wordpress_date;wordpress_musician;wordpress_musician_wikipedia
.70;27/05/2003;;
1.0;03/01/2004;Miles Davis;https://en.wikipedia.org/wiki/Miles_Davis
1.2;22/05/2004;Charles Mingus;https://en.wikipedia.org/wiki/Charles_Mingus
1.5;17/02/2005;Billy Strayhorn;https://en.wikipedia.org/wiki/Billy_Strayhorn
2.0;31/12/2005;Duke Ellington;https://en.wikipedia.org/wiki/Duke_Ellington
2.1;22/01/2007;Ella Fitzgerald;https://en.wikipedia.org/wiki/Ella_Fitzgerald
2.2;16/05/2007;Stan Getz;https://en.wikipedia.org/wiki/Stan_Getz
2.3;24/09/2007;Dexter Gordon;https://en.wikipedia.org/wiki/Dexter_Gordon
2.5;29/03/2008;Michael Brecker;https://en.wikipedia.org/wiki/Michael_Brecker
2.6;15/07/2008;McCoy Tyner;https://en.wikipedia.org/wiki/McCoy_Tyner
2.7;10/12/2008;John Coltrane;https://en.wikipedia.org/wiki/John_Coltrane
2.8;11/06/2009;Chet Baker;https://en.wikipedia.org/wiki/Chet_Baker
2.9;18/12/2009;Carmen McRae;https://en.wikipedia.org/wiki/Carmen_McRae
3.0;17/06/2010;Thelonious Monk;https://en.wikipedia.org/wiki/Thelonious_Monk
3.1;23/02/2011;Django Reinhardt;https://en.wikipedia.org/wiki/Django_Reinhardt
3.2;04/07/2011;George Gershwin;https://en.wikipedia.org/wiki/George_Gershwin
3.3;12/12/2011;Sonny Stitt;https://en.wikipedia.org/wiki/Sonny_Stitt
3.4;13/06/2012;Grant Green;https://en.wikipedia.org/wiki/Grant_Green
3.5;11/12/2012;Elvin Jones;https://en.wikipedia.org/wiki/Elvin_Jones
3.6;01/08/2013;Oscar Peterson;https://en.wikipedia.org/wiki/Oscar_Peterson
3.7;24/10/2013;Count Basie;https://en.wikipedia.org/wiki/Count_Basie
3.8;12/12/2013;Charlie Parker;https://en.wikipedia.org/wiki/Charlie_Parker
3.9;16/04/2014;Jimmy Smith;https://en.wikipedia.org/wiki/Jimmy_Smith_(musician)
4.0;04/09/2014;Benny Goodman;https://en.wikipedia.org/wiki/Benny_Goodman
4.1;18/12/2014;Dinah Washington;https://en.wikipedia.org/wiki/Dinah_Washington
4.2;23/04/2015;Bud Powell;https://en.wikipedia.org/wiki/Bud_Powell
4.3;18/08/2015;Billie Holiday;https://en.wikipedia.org/wiki/Billie_Holiday
4.4;08/12/2015;Clifford Brown;https://en.wikipedia.org/wiki/Clifford_Brown
4.5;12/04/2016;Coleman Hawkins;https://en.wikipedia.org/wiki/Coleman_Hawkins
4.6;16/08/2016;Pepper Adams;https://en.wikipedia.org/wiki/Pepper_Adams
4.7;06/12/2016;Sarah Vaughan;https://en.wikipedia.org/wiki/Sarah_Vaughan
4.8;08/06/2017;Bill Evans;https://en.wikipedia.org/wiki/Bill_Evans
4.9;15/11/2017;Billy Tipton;https://en.wikipedia.org/wiki/Billy_Tipton
5.0;06/12/2018;Bebo Valdés;https://en.wikipedia.org/wiki/Bebo_Vald%C3%A9s
5.1;21/02/2019;Betty Carter;https://en.wikipedia.org/wiki/Betty_Carter
5.2;07/05/2019;Jaco Pastorius;https://en.wikipedia.org/wiki/Jaco_Pastorius
5.3;12/11/2019;Rahsaan Roland Kirk;https://en.wikipedia.org/wiki/Rahsaan_Roland_Kirk
5.4;31/03/2020;Nat Adderley;https://en.wikipedia.org/wiki/Nat_Adderley
5.5;11/08/2020;Billy Eckstine;https://en.wikipedia.org/wiki/Billy_Eckstine
5.6;08/12/2020;Nina Simone;https://en.wikipedia.org/wiki/Nina_Simone
5.7;09/03/2021;Esperanza Spalding;https://en.wikipedia.org/wiki/Esperanza_Spalding
5.8;20/07/2021;Art Tatum;https://en.wikipedia.org/wiki/Art_Tatum
5.9;25/01/2022;Joséphine Baker;https://en.wikipedia.org/wiki/Josephine_Baker
6.0;24/05/2022;Arturo O'Farrill;https://en.wikipedia.org/wiki/Arturo_O%27Farrill
6.1;01/11/2022;Mikhail Alperin;https://en.wikipedia.org/wiki/Mikhail_Alperin
6.2;29/03/2023;Eric Dolphy;https://en.wikipedia.org/wiki/Eric_Dolphy
6.3;08/08/2023;Lionel Hampton;https://en.wikipedia.org/wiki/Lionel_Hampton
6.4;07/11/2023;Shirley Horn;https://es.wikipedia.org/wiki/Shirley_Horn
