"meetup_id";"meetup_slug";"meetup_name";"meetup_link";"country_id";"meetup_members";"meetup_date_created";"meetup_lat";"meetup_lon";"meetup_tz";"meetup_active"
"273731";"WordPressNYC";"WordPress NYC Meetup Group";"https://www.meetup.com/wordpressnyc";"us";"9563";"2006-06-29";"40.74";"-73.99";"America/New_York";"1"
"457274";"austinwordpress";"WordPress Austin";"https://www.meetup.com/austinwordpress";"us";"3971";"2007-03-22";"30.27";"-97.74";"America/Chicago";"1"
"1280797";"wordpress-atlanta";"Atlanta WordPress Users Group";"https://www.meetup.com/wordpress-atlanta";"us";"3832";"2008-09-12";"33.77";"-84.33";"America/New_York";"1"
"1298065";"SF-WordPress-Users";"South Florida WordPress Meetup Group";"https://www.meetup.com/sf-wordpress-users";"us";"6000";"2008-10-09";"25.78";"-80.24";"America/New_York";"1"
"1385733";"Eastbay-WordPress-Meetup";"The East Bay WordPress Meetup Group";"https://www.meetup.com/eastbay-wordpress-meetup";"us";"1551";"2009-02-17";"37.81";"-122.27";"America/Los_Angeles";"1"
"1388107";"wplosangeles";"WordPress Los Angeles";"https://www.meetup.com/wplosangeles";"us";"3150";"2009-02-20";"34.01";"-118.39";"America/Los_Angeles";"1"
"1389977";"Greater-Charlotte-Area-WordPress-Group";"Greater Charlotte Area WordPress Group";"https://www.meetup.com/greater-charlotte-area-wordpress-group";"us";"664";"2009-02-22";"35.21";"-80.86";"America/New_York";"1"
"1394831";"metro-detroit-wordpress-meetup";"Metro Detroit WordPress Meetup";"https://www.meetup.com/metro-detroit-wordpress-meetup";"us";"973";"2009-02-27";"42.33";"-83.05";"America/New_York";"1"
"1420395";"okc-wordpress-users-group";"OKC WordPress Users Group";"https://www.meetup.com/okc-wordpress-users-group";"us";"1304";"2009-03-28";"35.47";"-97.52";"America/Chicago";"1"
"1427908";"Raleigh-WordPress-Meetup-Group";"Raleigh-Durham RTP WordPress Meetup Group";"https://www.meetup.com/raleigh-wordpress-meetup-group";"us";"1542";"2009-04-06";"35.89";"-78.64";"America/New_York";"1"
"1438007";"vancouver-wordpress-meetup-group";"The Vancouver WordPress Meetup Group";"https://www.meetup.com/vancouver-wordpress-meetup-group";"ca";"3309";"2009-04-19";"49.27";"-123.15";"America/Vancouver";"1"
"1447706";"wordpress-swfl";"WordPress Meetup Southwest Florida";"https://www.meetup.com/wordpress-swfl";"us";"919";"2009-05-01";"26.63";"-81.87";"America/New_York";"1"
"1466973";"neowordpress";"Northeast Ohio WordPress Meetup";"https://www.meetup.com/neowordpress";"us";"1793";"2009-06-04";"41.49";"-81.67";"America/New_York";"1"
"1475866";"santa-cruz-wordpress";"Santa Cruz WordPress HelpDesk";"https://www.meetup.com/santa-cruz-wordpress";"us";"911";"2009-06-19";"36.99";"-122.06";"America/Los_Angeles";"1"
"1488811";"WordPressDevNH";"New Hampshire WordPress";"https://www.meetup.com/wordpressdevnh";"us";"648";"2009-07-13";"42.99";"-71.47";"America/New_York";"1"
"1507211";"DenverWordPress";"Denver WordPress Meetup";"https://www.meetup.com/denverwordpress";"us";"2319";"2009-08-16";"39.77";"-105.01";"America/Denver";"1"
"1508974";"fb8fd56a-5dd2-4f02-8843-d39f3033a366";"WordPress Bay Area Foothills Group";"https://www.meetup.com/fb8fd56a-5dd2-4f02-8843-d39f3033a366";"us";"532";"2009-08-19";"37.44";"-121.89";"America/Los_Angeles";"0"
"1515077";"boulderwp";"Boulder WordPress Meetup";"https://www.meetup.com/boulderwp";"us";"1534";"2009-08-30";"40.04";"-105.31";"America/Denver";"1"
"1515704";"WordPress-Websites";"West Jordan WordPress Meetup";"https://www.meetup.com/wordpress-websites";"us";"1323";"2009-08-31";"40.65";"-111.98";"America/Denver";"1"
"1548966";"Buffalo-Wordpress";"Buffalo WordPress Users";"https://www.meetup.com/buffalo-wordpress";"us";"1588";"2009-10-30";"42.9";"-78.88";"America/New_York";"1"
"1564158";"Wordpress-Westchester-Meetup-Group";"WordPress Westchester Meetup Group";"https://www.meetup.com/wordpress-westchester-meetup-group";"us";"991";"2009-12-01";"41.03";"-73.76";"America/New_York";"1"
"1564312";"wordpressdc";"WordPress DC";"https://www.meetup.com/wordpressdc";"us";"4360";"2009-12-02";"38.91";"-77.02";"America/New_York";"1"
