plugin_review_date,plugin_review_category,plugin_review_metric,plugin_review_value
2020-01-06,Status,Plugins Requested,141
2020-01-06,Status,Plugins Rejected,19
2020-01-06,Status,Plugins Closed,20
2020-01-06,Status,Plugins Approved,43
2020-01-06,Queue,Plugins in Queue,726
2020-01-06,Queue,Plugins Older week,632
2020-01-06,Mail,New,159
2020-01-06,Mail,Resolved,116
2020-01-06,Mail,Resolved First Reply,22%
2020-01-13,Status,Plugins Requested,163
2020-01-13,Status,Plugins Rejected,7
2020-01-13,Status,Plugins Closed,14
2020-01-13,Status,Plugins Approved,67
2020-01-13,Queue,Plugins in Queue,725
2020-01-13,Queue,Plugins Older week,636
2020-01-13,Mail,New,181
2020-01-13,Mail,Resolved,158
2020-01-13,Mail,Resolved First Reply,25%
2020-01-20,Status,Plugins Requested,141
2020-01-20,Status,Plugins Rejected,15
2020-01-20,Status,Plugins Closed,12
2020-01-20,Status,Plugins Approved,42
2020-01-20,Queue,Plugins in Queue,738
2020-01-20,Queue,Plugins Older week,650
2020-01-20,Mail,New,184
2020-01-20,Mail,Resolved,121
2020-01-20,Mail,Resolved First Reply,34%
2020-01-27,Status,Plugins Requested,164
2020-01-27,Status,Plugins Rejected,7
2020-01-27,Status,Plugins Closed,13
2020-01-27,Status,Plugins Approved,56
2020-01-27,Queue,Plugins in Queue,768
2020-01-27,Queue,Plugins Older week,665
2020-01-27,Mail,New,184
2020-01-27,Mail,Resolved,138
2020-01-27,Mail,Resolved First Reply,30%
2020-02-03,Status,Plugins Requested,152
2020-02-03,Status,Plugins Rejected,69
2020-02-03,Status,Plugins Closed,39
2020-02-03,Status,Plugins Approved,57
2020-02-03,Queue,Plugins in Queue,703
2020-02-03,Queue,Plugins Older week,604
2020-02-03,Mail,New,257
2020-02-03,Mail,Resolved,139
2020-02-03,Mail,Resolved First Reply,26%
2020-02-10,Status,Plugins Requested,165
2020-02-10,Status,Plugins Rejected,11
2020-02-10,Status,Plugins Closed,20
2020-02-10,Status,Plugins Approved,63
2020-02-10,Queue,Plugins in Queue,715
2020-02-10,Queue,Plugins Older week,618
2020-02-10,Mail,New,204
2020-02-10,Mail,Resolved,176
2020-02-10,Mail,Resolved First Reply,26%
2020-02-17,Status,Plugins Requested,172
2020-02-17,Status,Plugins Rejected,11
2020-02-17,Status,Plugins Closed,14
2020-02-17,Status,Plugins Approved,51
2020-02-17,Queue,Plugins in Queue,796
2020-02-17,Queue,Plugins Older week,654
2020-02-17,Mail,New,209
2020-02-17,Mail,Resolved,139
2020-02-17,Mail,Resolved First Reply,32%
2020-02-24,Status,Plugins Requested,166
2020-02-24,Status,Plugins Rejected,9
2020-02-24,Status,Plugins Closed,16
2020-02-24,Status,Plugins Approved,57
2020-02-24,Queue,Plugins in Queue,793
2020-02-24,Queue,Plugins Older week,690
2020-02-24,Mail,New,231
2020-02-24,Mail,Resolved,197
2020-02-24,Mail,Resolved First Reply,26%
2020-03-02,Status,Plugins Requested,160
2020-03-02,Status,Plugins Rejected,109
2020-03-02,Status,Plugins Closed,27
2020-03-02,Status,Plugins Approved,75
2020-03-02,Queue,Plugins in Queue,681
2020-03-02,Queue,Plugins Older week,601
2020-03-02,Mail,New,294
2020-03-02,Mail,Resolved,205
2020-03-02,Mail,Resolved First Reply,33%
2020-03-09,Status,Plugins Requested,142
2020-03-09,Status,Plugins Rejected,24
2020-03-09,Status,Plugins Closed,150
2020-03-09,Status,Plugins Approved,47
2020-03-09,Queue,Plugins in Queue,699
2020-03-09,Queue,Plugins Older week,606
2020-03-09,Mail,New,603
2020-03-09,Mail,Resolved,228
2020-03-09,Mail,Resolved First Reply,45%
2020-03-16,Status,Plugins Requested,163
2020-03-16,Status,Plugins Rejected,5
2020-03-16,Status,Plugins Closed,380
2020-03-16,Status,Plugins Approved,66
