plugin_directory_date,plugin_directory_downloads
2007-10-01,1663125
2007-11-02,2087162
2007-12-11,2701159
2008-01-26,3540595
2008-02-06,3786374
2008-03-02,4082686
2008-04-14,4082686
2008-05-08,4082686
2008-06-19,4082686
2008-07-01,8382089
2008-08-09,10155717
2008-09-01,11250362
2008-10-01,12765528
2008-11-02,14432974
2008-12-01,16030340
2009-01-01,18213237
2009-02-01,20571533
2009-03-02,22152788
2009-04-06,22152788
2009-05-02,22152788
2009-06-01,32030743
2009-07-01,37318427
2009-08-01,42689442
2009-09-01,47389698
2009-10-01,52656419
2009-11-02,58509548
2009-12-04,64077092
2010-01-02,68142376
2010-02-01,72933415
2010-03-02,77928545
2010-04-03,83201347
2010-05-01,88025141
2010-06-02,93562611
2010-07-01,99714384
2010-08-01,105982042
2010-09-01,112675159
2010-10-01,119439477
2010-11-01,126274003
2010-12-02,133168240
2011-01-01,140469502
2011-02-01,148754452
2011-03-01,157825549
2011-04-01,167054890
2011-05-01,175340445
2011-06-01,183852912
2011-07-02,192799399
2011-08-01,202564598
2011-09-01,212094015
2011-10-01,221030700
2011-11-01,230028554
2011-12-01,248988732
2012-01-01,249019590
2012-02-01,260900138
2012-03-01,272847744
2012-04-01,284294685
2012-05-01,295874975
2012-06-01,307814734
2012-07-01,319760712
2012-08-01,330984835
2012-09-01,342476880
2012-10-01,353878524
2012-11-01,366173656
2012-12-01,377522204
2013-01-01,390652492
2013-02-01,406092345
2013-03-01,420427006
2013-04-01,434546711
2013-05-01,449852042
2013-06-01,464536339
2013-07-09,482099093
2013-08-01,492736659
2013-09-02,509243946
2013-10-02,524542575
2013-11-02,541519792
2013-12-01,556734161
2014-01-01,572749364
2014-02-01,590987366
2014-03-01,607580516
2014-04-01,626491502
2014-05-02,649280643
2014-06-01,668405797
2014-07-01,686916506
2014-08-01,706039274
2014-09-01,725785846
2014-10-01,749435908
2014-11-01,769819219
2014-12-01,791936110
2015-01-01,813999466
2015-02-01,837196918
2015-03-01,860189556
2015-04-01,886560090
2015-05-09,921405825
2015-06-01,939591208
2015-07-09,971851321
2015-08-07,997677588
2015-09-02,1021472794
2015-10-05,1052335856
2015-11-01,1078061438
2015-12-01,1104425261
2016-01-01,1132789299
2016-02-02,1164875938
2016-03-03,1195009514
2016-04-01,1226050392
2016-05-02,1260074719
2016-06-02,1293962648
2016-07-01,1324234736
2016-08-01,1353228164
2016-09-01,1385160769
2016-10-02,1417686934
2016-11-02,1450881335
2016-12-01,1480317728
2017-01-01,1514066882
2017-02-01,1550569758
2017-03-01,1586177620
