plugin_directory_date,plugin_directory_num_plugins
2007-10-01,1048
2007-11-02,1193
2007-12-11,1276
2008-01-26,1469
2008-02-06,1514
2008-03-02,1637
2008-04-14,1955
2008-05-08,2127
2008-06-19,2383
2008-07-01,2462
2008-08-09,2695
2008-09-01,2810
2008-10-01,3032
2008-11-02,3234
2008-12-01,3458
2009-01-01,3726
2009-02-01,4043
2009-03-02,4245
2009-04-06,4245
2009-05-02,4245
2009-06-01,5342
2009-07-01,5680
2009-08-01,6065
2009-09-01,6410
2009-10-01,6776
2009-11-02,7117
2009-12-04,7471
2010-01-02,7836
2010-02-01,8166
2010-03-02,8530
2010-04-03,9004
2010-05-01,9433
2010-06-02,9806
2010-07-01,10130
2010-08-01,10547
2010-09-01,11067
2010-10-01,11474
2010-11-01,11874
2010-12-02,12201
2011-01-01,12495
2011-02-01,12920
2011-03-01,13370
2011-04-01,13817
2011-05-01,14226
2011-06-01,14627
2011-07-02,15016
2011-08-01,15510
2011-09-01,16028
2011-10-01,16467
2011-11-01,16873
2011-12-01,17603
2012-01-01,17605
2012-02-01,18089
2012-03-01,18568
2012-04-01,18968
2012-05-01,19351
2012-06-01,19679
2012-07-01,20143
2012-08-01,20613
2012-09-01,21116
2012-10-01,21566
2012-11-01,22042
2012-12-01,22494
2013-01-01,22941
2013-02-01,23381
2013-03-01,23793
2013-04-01,24211
2013-05-01,24763
2013-06-01,25295
2013-07-09,25835
2013-08-01,26201
2013-09-02,26709
2013-10-02,27193
2013-11-02,27731
2013-12-01,28239
2014-01-01,28679
2014-02-01,29177
2014-03-01,29673
2014-04-01,30244
2014-05-02,30809
2014-06-01,31394
2014-07-01,31976
2014-08-01,32568
2014-09-01,33064
2014-10-01,33635
2014-11-01,34172
2014-12-01,34731
2015-01-01,35258
2015-02-01,35800
2015-03-01,36370
2015-04-01,37003
2015-05-09,37741
2015-06-01,38077
2015-07-09,38675
2015-08-07,39348
2015-09-02,39830
2015-10-05,40493
2015-11-01,40996
2015-12-01,41555
2016-01-01,42153
2016-02-02,42702
2016-03-03,43306
2016-04-01,43828
2016-05-02,44346
2016-06-02,44928
2016-07-01,45450
2016-08-01,45896
2016-09-01,46435
2016-10-02,46935
2016-11-02,47493
2016-12-01,47926
2017-01-01,48290
2017-02-01,48616
2017-03-01,49141
2017-04-01,49384
2017-05-01,49914
2017-06-01,50441
2017-07-01,50955
2017-08-01,51446
2017-09-01,51939
2017-10-01,52330
2017-11-01,52809
2017-12-01,53206
2018-01-01,53587
2018-02-01,53995
2018-03-01,54340
2018-04-01,54781
2018-05-01,55187
2018-06-01,55285
2018-07-01,55485
2018-08-01,55872
2018-09-02,56259
2018-10-01,56185
2018-11-02,55612
2018-12-01,55299
2019-01-01,54198
2019-02-01,54549
2019-03-01,54448
2019-04-01,54876
2019-05-01,55073
2019-06-01,55001
2019-07-01,55053
2019-08-01,55028
2019-09-01,55138
2019-10-01,54709
2019-11-01,54469
2019-12-01,54771
2020-01-01,55145
2020-02-01,55510
2020-03-01,55892
2020-04-01,55774
2020-05-01,56116
2020-06-01,56554
2020-07-01,56976
2020-08-01,57371
2020-09-01,57200
2020-10-01,57555
2020-11-01,57942
2020-12-01,57929
2021-01-01,58162
2021-02-01,58471
2021-03-01,58569
2021-04-01,58214
2021-05-01,58383
2021-06-01,58636
2021-07-01,58830
2021-08-01,58668
2021-09-01,58886
2021-10-01,59026
2021-11-01,59264
2021-12-01,59555
2022-01-01,59810
2022-02-01,59497
2022-03-01,59523
2022-04-01,59738
2022-05-01,59686
2022-06-01,59332
2022-07-01,59453
2022-08-01,59663
2022-09-01,59941
2022-10-01,60173
2022-11-01,60142
2022-12-01,60011
2023-01-01,59997
2023-02-01,60239
2023-03-01,60531
2023-04-01,60186
2023-05-01,60339
2023-06-01,60485
2023-07-01,60605
2023-08-01,59597
2023-09-01,59684
2023-10-01,59728
2023-11-01,59701
2023-12-01,59767
2024-01-01,59483
2024-02-01,59614
2024-03-01,59775
2024-04-01,59361
