themes_directory_date,themes_directory_downloads
2008-08-05,88789
2008-09-01,370354
2008-10-02,760615
2008-11-07,1290990
2008-12-01,1657441
2009-01-01,2126820
2009-02-01,2693674
2009-03-02,3286011
2009-04-07,3999760
2009-05-02,4489335
2009-06-04,5166008
2009-07-01,5820555
2009-08-01,6627795
2009-09-01,7396259
2009-10-02,8212625
2009-11-02,9040097
2009-12-01,9872271
2010-01-03,10754366
2010-02-07,11970091
2010-03-07,13016105
2010-04-01,13941278
2010-05-05,15143293
2010-06-03,16180704
2010-07-02,17416228
2010-08-01,18786346
2010-09-01,20090825
2010-10-01,21358824
2010-11-01,22742124
2010-12-01,24049418
2011-01-01,25337706
2011-02-01,26806958
2011-03-01,28270438
2011-04-04,30024275
2011-05-01,31314241
2011-06-01,32721323
2011-07-02,34149794
2011-08-01,35704165
2011-09-02,37061845
2011-10-02,38298223
2011-11-02,39544721
2011-12-04,40808622
2012-01-01,41948473
2012-02-01,43394671
2012-03-01,44836353
2012-04-01,46344961
2012-05-01,47796157
2012-06-01,49280263
2012-07-01,50921516
2012-08-01,52588595
2012-09-01,54306658
2012-10-01,56025175
2012-11-01,57809940
2012-12-01,59627177
2013-01-01,61400723
2013-02-01,63541767
2013-03-01,65621495
2013-04-01,67755645
2013-05-01,69774663
2013-06-01,71833458
2013-07-01,73762017
2013-08-01,75795361
2013-09-01,78026171
2013-10-01,80262265
2013-11-02,82879316
2013-12-01,85407997
2014-01-01,87958039
2014-02-01,90840097
2014-03-01,93453704
2014-04-01,96324775
2014-05-01,99206957
2014-06-01,102085800
2014-07-01,104802724
2014-08-03,107714456
2014-09-01,110261282
2014-10-01,113210027
2014-11-01,116159473
2014-12-01,119088994
2015-01-01,121967486
2015-02-02,125480393
